"filename", "language", "YAML", "Markdown", "Groovy", "Dart", "XML", "Swift", "Properties", "C++", "JSON", "Java", "comment", "blank", "total"
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/creditCard/credit_card_article_details_page.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/creditCard/credit_cards_articles.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 9, 9, 91
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/dashboard.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/firebase_ui.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/home_page.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/pages/sign_up_page.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 6, 76
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/theme/colors.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22, 44
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/theme/marathi_finance_theme.dart", "Dart", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 5, 115
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/theme/tab_text.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/Users/nileshpayghan/Documents/Nilesh/m-fin/lib/theme/vertical_tab_layout.dart", "Dart", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 3, 8, 162
"/Users/nileshpayghan/Documents/Nilesh/m-fin/pubspec.yaml", "YAML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 15, 102
"/Users/nileshpayghan/Documents/Nilesh/m-fin/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 31, 5, 107, 907, 201, 12, 8, 1, 209, 13, 150, 212, 1856
